school_id,academic_year,grade_level,average_score,attendance_percentage,dropout_risk_flag
SCH_0016,2020,6.0,,76.9,
SCH_0075,2020,,,88.45,
SCH_0068,2022,12.0,52.44,,
SCH_0007,2022,5.0,,,
SCH_0051,2024,6.0,,,
SCH_0033,2024,2.0,,79.24,
SCH_0010,2024,,,70.68,
SCH_0048,2021,6.0,,63.94,
SCH_0046,2022,6.0,68.49,95.19,0.0
SCH_0068,2023,3.0,47.52,,
SCH_0005,2024,1.0,94.06,86.43,0.0
SCH_0024,2022,5.0,,,
SCH_0094,2021,9.0,,,
SCH_0075,2020,2.0,,75.0,
SCH_0079,2020,6.0,,,
SCH_0066,2021,12.0,90.93,99.7,0.0
SCH_0058,2019,1.0,,,
SCH_0119,2022,3.0,68.28,70.42,1.0
SCH_0016,2022,4.0,62.08,,
SCH_0023,2024,8.0,88.63,,
SCH_0105,2024,10.0,,,
SCH_0095,2023,12.0,,,
SCH_0005,2023,2.0,88.94,98.54,0.0
SCH_0040,2024,4.0,87.18,,
SCH_0117,2023,8.0,66.11,,
SCH_0080,2020,8.0,,,
SCH_0065,2024,11.0,61.54,80.7,0.0
SCH_0027,2021,7.0,,93.08,
SCH_0015,2024,5.0,,,
SCH_0018,2022,10.0,52.58,,
SCH_0069,2023,3.0,68.6,65.33,1.0
SCH_0108,2022,9.0,80.55,75.43,0.0
SCH_0033,2023,10.0,55.94,,
SCH_0029,2023,7.0,,93.22,
SCH_0113,2024,9.0,,92.7,
SCH_0012,2019,,70.92,,
SCH_0106,2020,4.0,,88.25,
SCH_0039,2019,12.0,93.85,,
SCH_0080,2019,,70.73,94.59,0.0
SCH_0083,2023,10.0,50.57,,
SCH_0103,2020,7.0,,73.78,
SCH_0067,2019,8.0,,,
SCH_0039,2024,11.0,,81.86,
SCH_0092,2020,6.0,,65.8,
SCH_0053,2021,11.0,52.57,84.61,0.0
SCH_0005,2020,11.0,,84.65,
SCH_0093,2022,10.0,65.91,89.81,0.0
SCH_0033,2022,4.0,65.77,96.81,0.0
SCH_0047,2024,3.0,,,
SCH_0041,2022,7.0,70.0,,
SCH_0057,2024,9.0,,78.53,
SCH_0051,2019,11.0,,,
SCH_0026,2020,12.0,62.36,95.51,0.0
SCH_0044,2022,6.0,51.16,,
SCH_0020,2024,7.0,,97.61,
SCH_0061,2021,4.0,88.1,,
SCH_0117,2020,10.0,69.5,,
SCH_0048,2019,11.0,,,
SCH_0023,2024,2.0,79.21,,
SCH_0080,2024,6.0,45.44,,
SCH_0095,2023,5.0,57.63,82.21,0.0
SCH_0010,2019,6.0,41.32,68.23,1.0
SCH_0024,2023,9.0,65.54,96.53,0.0
SCH_0026,2019,10.0,,,
SCH_0055,2022,4.0,69.73,,
SCH_0014,2023,12.0,60.22,,
SCH_0056,2021,9.0,64.02,74.83,0.0
SCH_0025,2019,8.0,70.03,,
SCH_0005,2021,2.0,,,
SCH_0040,2021,6.0,61.61,,
SCH_0110,2020,10.0,,,
SCH_0116,2019,9.0,60.6,,
SCH_0107,2022,9.0,93.71,71.58,1.0
SCH_0059,2022,2.0,63.71,95.88,0.0
SCH_0100,2024,4.0,,73.01,
SCH_0106,2020,12.0,,,
SCH_0090,2024,4.0,43.01,76.96,1.0
SCH_0110,2020,3.0,71.36,,
SCH_0059,2023,6.0,,,
SCH_0036,2024,2.0,,,
SCH_0022,2022,12.0,,,
SCH_0106,2024,6.0,,93.52,
SCH_0109,2021,8.0,,67.81,
SCH_0115,2024,,72.81,,
SCH_0065,2023,5.0,,74.65,
SCH_0107,2021,12.0,,,
SCH_0071,2020,2.0,,64.69,
SCH_0063,2022,9.0,88.79,70.23,1.0
SCH_0031,2021,10.0,,,
SCH_0015,2024,8.0,,68.64,
SCH_0108,2024,2.0,63.28,67.97,1.0
SCH_0043,2023,8.0,85.38,62.85,1.0
SCH_0017,2020,6.0,,77.55,
SCH_0098,2020,5.0,,,
SCH_0061,2024,1.0,61.25,,
SCH_0026,2023,10.0,47.65,,
SCH_0038,2021,2.0,89.3,77.8,0.0
SCH_0078,2019,3.0,,,
SCH_0004,2019,7.0,88.84,,
SCH_0065,2024,9.0,53.91,,
SCH_0070,2019,7.0,,90.7,
SCH_0005,2023,12.0,,70.78,
SCH_0034,2022,5.0,88.64,,
SCH_0021,2022,11.0,57.45,75.03,0.0
SCH_0065,2024,4.0,,,
SCH_0115,2019,10.0,,92.69,
SCH_0049,2022,12.0,55.26,,
SCH_0019,2023,5.0,,69.28,
SCH_0100,2020,1.0,,92.63,
SCH_0080,2022,8.0,,,
SCH_0092,2023,2.0,,99.3,
SCH_0082,2020,4.0,67.29,88.73,0.0
SCH_0002,2023,1.0,,,
SCH_0059,2019,,70.86,95.64,0.0
SCH_0016,2024,4.0,,,
SCH_0041,2019,,60.38,,
SCH_0004,2023,3.0,74.44,69.06,1.0
SCH_0057,2023,9.0,,,
SCH_0070,2023,9.0,94.58,,
SCH_0093,2020,2.0,,84.87,
SCH_0027,2024,6.0,47.78,93.06,1.0
SCH_0063,2020,12.0,88.88,98.02,0.0
SCH_0037,2023,1.0,,,
SCH_0089,2023,6.0,,,
SCH_0020,2022,4.0,,75.48,
SCH_0008,2024,9.0,,,
SCH_0015,2024,7.0,54.65,77.52,0.0
SCH_0106,2019,1.0,,,
SCH_0065,2020,5.0,,,
SCH_0099,2023,12.0,,,
SCH_0103,2024,7.0,52.12,60.27,1.0
SCH_0028,2021,4.0,67.61,70.1,1.0
SCH_0032,2024,2.0,,,
SCH_0007,2024,5.0,,,
SCH_0075,2020,9.0,,71.71,
SCH_0062,2020,4.0,,64.6,
SCH_0057,2024,12.0,77.71,69.11,1.0
SCH_0119,2020,4.0,89.68,63.03,1.0
SCH_0023,2024,6.0,,98.94,
SCH_0065,2023,2.0,53.2,64.04,1.0
SCH_0029,2022,3.0,49.13,87.29,1.0
SCH_0066,2021,5.0,88.75,90.05,0.0
SCH_0054,2023,6.0,67.78,,
SCH_0106,2020,10.0,67.99,,
SCH_0067,2024,5.0,49.43,,
SCH_0027,2020,,,99.81,
SCH_0025,2020,9.0,49.76,,
SCH_0007,2022,3.0,,84.05,
SCH_0047,2019,4.0,,72.41,
SCH_0040,2022,12.0,,86.51,
SCH_0084,2024,5.0,,99.08,
SCH_0067,2024,11.0,49.31,65.03,1.0
SCH_0042,2023,2.0,,,
SCH_0115,2023,2.0,,72.93,
SCH_0102,2022,3.0,,66.14,
SCH_0016,2021,3.0,,,
SCH_0032,2024,3.0,,82.59,
SCH_0044,2022,9.0,,,
SCH_0061,2024,10.0,49.61,,
SCH_0046,2020,11.0,,,
SCH_0026,2019,8.0,,,
SCH_0108,2022,2.0,,,
SCH_0056,2024,4.0,55.74,70.67,1.0
SCH_0004,2020,12.0,,79.39,
SCH_0103,2021,1.0,,77.0,
SCH_0093,2020,11.0,,94.8,
SCH_0075,2021,2.0,65.63,,
SCH_0049,2022,6.0,,85.7,
SCH_0031,2023,4.0,69.87,,
SCH_0045,2021,2.0,,,
SCH_0104,2023,4.0,87.66,61.29,1.0
SCH_0102,2024,3.0,79.61,86.03,0.0
SCH_0118,2020,4.0,91.88,,
SCH_0012,2019,2.0,58.34,,
SCH_0012,2021,9.0,47.16,,
SCH_0026,2023,8.0,,81.18,
SCH_0060,2024,4.0,84.38,,
SCH_0013,2021,1.0,78.35,69.81,1.0
SCH_0120,2021,10.0,91.07,,
SCH_0100,2020,11.0,50.22,,
SCH_0102,2023,4.0,,,
SCH_0070,2024,9.0,,64.25,
SCH_0084,2020,10.0,44.96,,
SCH_0043,2021,8.0,41.51,74.95,1.0
SCH_0002,2021,4.0,,,
SCH_0092,2019,3.0,,76.55,
SCH_0091,2022,8.0,52.54,,
SCH_0089,2020,12.0,,,
SCH_0046,2022,8.0,,76.91,
SCH_0072,2020,6.0,60.87,73.62,0.0
SCH_0087,2023,4.0,,,
SCH_0068,2019,1.0,,,
SCH_0084,2024,7.0,,,
SCH_0047,2021,4.0,,84.29,
SCH_0026,2020,9.0,,63.65,
SCH_0052,2021,1.0,86.87,,
SCH_0080,2023,10.0,,91.16,
SCH_0056,2019,10.0,,,
SCH_0044,2024,1.0,,96.32,
SCH_0102,2020,5.0,,,
SCH_0088,2023,3.0,,77.16,
SCH_0007,2019,10.0,55.34,65.06,1.0
SCH_0018,2023,1.0,,74.45,
SCH_0014,2020,5.0,,67.0,
SCH_0105,2019,10.0,,,
SCH_0010,2024,4.0,,,
SCH_0062,2020,8.0,,,
SCH_0102,2023,10.0,,,
SCH_0112,2024,1.0,,,
SCH_0028,2022,6.0,67.99,,
SCH_0052,2024,1.0,62.61,,
SCH_0105,2022,3.0,,63.17,
SCH_0056,2020,6.0,,,
SCH_0010,2019,3.0,,,
SCH_0080,2024,2.0,50.55,69.9,1.0
SCH_0071,2024,12.0,74.31,60.51,1.0
SCH_0106,2020,9.0,40.18,65.97,1.0
SCH_0119,2021,2.0,,,
SCH_0043,2022,7.0,,61.83,
SCH_0033,2020,8.0,,,
SCH_0011,2023,,,79.9,
SCH_0109,2022,,87.54,,
SCH_0016,2022,10.0,79.8,,
SCH_0004,2019,3.0,43.59,67.21,1.0
SCH_0081,2023,5.0,,73.22,
SCH_0007,2019,11.0,94.59,,
SCH_0074,2019,6.0,,,
SCH_0020,2020,8.0,,,
SCH_0048,2019,1.0,,,
SCH_0096,2019,7.0,72.99,,
SCH_0117,2024,11.0,,65.43,
SCH_0050,2023,4.0,72.6,,
SCH_0074,2020,9.0,,,
SCH_0079,2019,9.0,71.16,72.31,0.0
SCH_0030,2020,8.0,,64.74,
SCH_0052,2022,,,,
SCH_0111,2020,8.0,86.84,97.95,0.0
SCH_0108,2019,8.0,94.43,73.13,0.0
SCH_0094,2023,8.0,77.74,80.58,0.0
SCH_0060,2019,7.0,,,
SCH_0106,2023,10.0,,,
SCH_0090,2019,11.0,,96.14,
SCH_0038,2024,12.0,66.61,64.18,1.0
SCH_0067,2024,,79.9,,
SCH_0084,2019,6.0,,,
SCH_0114,2022,2.0,43.24,91.75,1.0
SCH_0074,2020,7.0,92.18,,
SCH_0042,2022,8.0,,,
SCH_0052,2021,4.0,,,
SCH_0045,2019,10.0,63.41,,
SCH_0032,2020,3.0,57.6,,
SCH_0060,2022,10.0,66.75,,
SCH_0019,2023,7.0,,,
SCH_0022,2020,7.0,83.23,78.19,0.0
SCH_0008,2019,1.0,,91.38,
SCH_0103,2023,4.0,80.81,,
SCH_0026,2019,11.0,55.14,,
SCH_0064,2019,1.0,64.64,77.19,0.0
SCH_0009,2019,6.0,,,
SCH_0030,2021,6.0,76.53,78.54,0.0
SCH_0111,2022,9.0,,80.46,
SCH_0023,2021,5.0,60.32,60.71,1.0
SCH_0017,2019,3.0,49.15,,
SCH_0081,2020,3.0,,,
SCH_0094,2020,9.0,62.53,61.45,1.0
SCH_0092,2024,5.0,,,
SCH_0103,2024,12.0,,,
SCH_0111,2024,1.0,57.11,,
SCH_0001,2021,10.0,44.64,93.76,1.0
SCH_0039,2020,1.0,,,
SCH_0084,2024,12.0,73.91,,
SCH_0057,2024,12.0,65.38,,
SCH_0086,2023,5.0,81.8,,
SCH_0120,2022,2.0,75.78,,
SCH_0072,2023,4.0,,,
SCH_0043,2023,12.0,,,
SCH_0033,2023,6.0,,70.48,
SCH_0019,2023,6.0,,,
SCH_0023,2021,7.0,,,
SCH_0034,2021,3.0,82.31,81.35,0.0
SCH_0054,2020,1.0,87.22,69.12,1.0
SCH_0012,2021,8.0,56.81,92.03,0.0
SCH_0053,2024,7.0,,,
SCH_0076,2024,2.0,,,
SCH_0061,2024,2.0,61.26,,
SCH_0036,2024,4.0,48.43,,
SCH_0102,2020,12.0,,,
SCH_0087,2019,4.0,63.23,88.96,0.0
SCH_0001,2023,11.0,45.79,,
SCH_0003,2021,2.0,,81.14,
SCH_0114,2020,7.0,59.88,,
SCH_0017,2019,7.0,47.63,,
SCH_0059,2021,9.0,45.28,87.42,1.0
SCH_0104,2022,8.0,68.41,94.68,0.0
SCH_0091,2023,4.0,,68.07,
SCH_0066,2024,6.0,,82.6,
SCH_0020,2021,4.0,,,
SCH_0034,2021,4.0,,,
SCH_0021,2024,,72.08,67.99,1.0
SCH_0038,2019,9.0,48.75,70.92,1.0
SCH_0081,2019,2.0,70.92,,
SCH_0026,2020,2.0,75.09,,
SCH_0045,2022,5.0,94.31,72.28,0.0
SCH_0012,2022,3.0,,80.73,
SCH_0020,2024,7.0,,,
SCH_0047,2022,2.0,44.85,,
SCH_0113,2021,10.0,41.83,81.86,1.0
SCH_0067,2022,1.0,,93.09,
SCH_0066,2024,,,64.49,
SCH_0015,2024,7.0,,,
SCH_0069,2023,2.0,,,
SCH_0027,2019,5.0,,79.82,
SCH_0001,2019,7.0,44.65,,
SCH_0054,2024,9.0,84.5,,
SCH_0024,2023,9.0,,71.08,
SCH_0050,2023,5.0,,60.82,
SCH_0030,2019,,84.34,,
SCH_0014,2020,9.0,,91.93,
SCH_0101,2022,9.0,85.75,63.74,1.0
SCH_0051,2020,12.0,,,
SCH_0079,2019,3.0,64.06,,
SCH_0116,2020,6.0,,81.68,
SCH_0047,2023,10.0,47.55,,
SCH_0004,2022,5.0,58.98,94.0,0.0
SCH_0088,2024,4.0,49.82,,
SCH_0119,2020,7.0,,,
SCH_0062,2023,9.0,86.76,,
SCH_0065,2020,,59.03,,
SCH_0069,2024,12.0,,88.71,
SCH_0055,2021,9.0,90.89,,
SCH_0065,2022,4.0,80.77,99.17,0.0
SCH_0111,2020,3.0,75.32,88.0,0.0
SCH_0098,2021,2.0,,74.04,
SCH_0097,2023,3.0,45.65,64.64,1.0
SCH_0030,2021,9.0,,76.98,
SCH_0009,2019,4.0,90.88,99.66,0.0
SCH_0023,2022,3.0,51.14,,
SCH_0020,2024,,,,
SCH_0023,2023,12.0,,78.57,
SCH_0022,2021,2.0,69.72,,
SCH_0025,2023,8.0,,99.33,
SCH_0115,2024,12.0,,,
SCH_0038,2020,6.0,,,
SCH_0079,2019,,,89.63,
SCH_0088,2022,1.0,87.62,93.61,0.0
SCH_0096,2021,10.0,,97.87,
SCH_0029,2021,2.0,85.79,64.66,1.0
SCH_0036,2023,11.0,84.23,,
SCH_0119,2021,8.0,83.11,,
SCH_0041,2019,12.0,80.18,,
SCH_0095,2022,5.0,66.88,64.25,1.0
SCH_0044,2020,7.0,,,
SCH_0014,2020,10.0,82.29,63.98,1.0
SCH_0052,2023,4.0,,73.52,
SCH_0023,2021,2.0,,,
SCH_0038,2023,7.0,,76.85,
SCH_0109,2023,4.0,,83.37,
SCH_0007,2020,11.0,78.14,,
SCH_0026,2022,6.0,,69.99,
SCH_0117,2020,1.0,46.06,,
SCH_0092,2023,5.0,77.58,70.44,1.0
SCH_0041,2019,5.0,86.46,95.82,0.0
SCH_0052,2023,4.0,62.62,64.82,1.0
SCH_0016,2022,10.0,81.59,97.92,0.0
SCH_0040,2019,5.0,85.56,72.5,0.0
SCH_0031,2024,12.0,,75.05,
SCH_0112,2022,2.0,63.09,,
SCH_0115,2022,7.0,82.34,90.01,0.0
SCH_0110,2022,8.0,,,
SCH_0057,2021,5.0,,94.52,
SCH_0020,2023,11.0,,,
SCH_0072,2021,2.0,46.9,99.19,1.0
SCH_0063,2020,12.0,85.46,,
SCH_0059,2024,9.0,,64.87,
SCH_0079,2020,11.0,70.77,84.89,0.0
SCH_0046,2024,3.0,45.47,74.51,1.0
SCH_0063,2022,9.0,73.72,,
SCH_0007,2019,1.0,,,
SCH_0085,2023,2.0,,,
SCH_0054,2020,2.0,43.73,,
SCH_0009,2022,,,84.89,
SCH_0109,2023,3.0,,80.23,
SCH_0095,2019,9.0,,,
SCH_0100,2023,8.0,57.8,76.74,0.0
SCH_0088,2020,4.0,49.12,,
SCH_0113,2021,11.0,77.13,,
SCH_0099,2019,8.0,,,
SCH_0040,2024,6.0,,69.88,
SCH_0016,2019,4.0,56.18,,
SCH_0040,2022,,64.68,89.51,0.0
SCH_0069,2021,12.0,75.94,,
SCH_0032,2023,3.0,53.47,,
SCH_0014,2021,3.0,67.12,64.18,1.0
SCH_0049,2021,8.0,,,
SCH_0056,2023,2.0,85.45,,
SCH_0037,2021,5.0,60.0,80.11,0.0
SCH_0030,2022,11.0,68.83,87.73,0.0
SCH_0105,2021,2.0,93.88,,
SCH_0106,2023,7.0,,69.24,
SCH_0066,2020,7.0,51.33,,
SCH_0055,2022,5.0,45.44,,
SCH_0007,2023,12.0,,,
SCH_0102,2024,,55.63,,
SCH_0074,2020,1.0,,90.7,
SCH_0072,2021,12.0,66.47,,
SCH_0015,2019,2.0,87.58,,
SCH_0001,2021,1.0,87.59,62.18,1.0
SCH_0069,2020,11.0,,,
SCH_0061,2020,4.0,,80.11,
SCH_0009,2021,7.0,,,
SCH_0118,2019,12.0,57.48,,
SCH_0012,2023,7.0,72.42,,
SCH_0048,2022,3.0,,,
SCH_0099,2023,7.0,,,
SCH_0014,2022,9.0,,,
SCH_0013,2022,2.0,,,
SCH_0044,2023,9.0,61.66,97.58,0.0
SCH_0078,2019,10.0,91.14,83.22,0.0
SCH_0045,2020,8.0,,,
SCH_0073,2022,6.0,,74.68,
SCH_0065,2021,,45.2,,
SCH_0037,2024,11.0,,,
SCH_0011,2020,11.0,,93.38,
SCH_0021,2020,4.0,82.16,99.06,0.0
SCH_0081,2021,4.0,,67.93,
SCH_0070,2023,12.0,,63.43,
SCH_0062,2020,1.0,,90.08,
SCH_0083,2024,9.0,85.55,68.64,1.0
SCH_0035,2020,1.0,88.08,,
SCH_0100,2024,2.0,85.07,,
SCH_0084,2022,6.0,65.25,69.29,1.0
SCH_0046,2021,5.0,,61.48,
SCH_0062,2024,3.0,59.5,,
SCH_0063,2023,8.0,67.41,87.07,0.0
SCH_0062,2021,9.0,,,
SCH_0016,2023,2.0,65.62,,
SCH_0010,2024,2.0,54.28,87.33,0.0
SCH_0039,2020,1.0,,,
SCH_0113,2024,4.0,94.34,87.98,0.0
SCH_0049,2019,3.0,70.67,,
SCH_0069,2023,9.0,,85.87,
SCH_0107,2020,,,91.44,
SCH_0113,2023,5.0,,75.55,
SCH_0026,2022,12.0,58.97,,
SCH_0080,2024,1.0,61.47,,
SCH_0008,2019,12.0,90.59,,
SCH_0012,2021,7.0,,76.48,
SCH_0037,2022,11.0,,,
SCH_0049,2019,3.0,73.71,,
SCH_0009,2021,12.0,65.59,85.02,0.0
SCH_0049,2023,2.0,70.08,65.14,1.0
SCH_0101,2019,12.0,,,
SCH_0109,2024,12.0,,,
SCH_0097,2022,2.0,,,
SCH_0102,2023,6.0,,,
SCH_0066,2022,4.0,70.0,62.19,1.0
SCH_0043,2020,5.0,,,
SCH_0111,2024,1.0,68.4,63.62,1.0
SCH_0109,2024,2.0,,,
SCH_0054,2021,7.0,74.78,65.21,1.0
SCH_0102,2020,7.0,,,
SCH_0064,2022,2.0,50.18,,
SCH_0003,2020,,,,
SCH_0110,2021,3.0,,73.37,
SCH_0011,2022,9.0,43.32,,
SCH_0021,2021,9.0,58.83,82.47,0.0
SCH_0037,2019,11.0,61.67,69.51,1.0
SCH_0106,2024,8.0,,71.52,
SCH_0080,2019,4.0,91.77,84.15,0.0
SCH_0005,2024,2.0,,,
SCH_0096,2023,8.0,54.01,89.13,0.0
SCH_0091,2019,4.0,,,
SCH_0088,2020,10.0,80.7,,
SCH_0037,2023,8.0,81.98,,
SCH_0120,2022,5.0,84.08,90.62,0.0
SCH_0117,2024,5.0,,74.19,
SCH_0060,2019,9.0,62.06,,
SCH_0012,2022,12.0,81.38,,
SCH_0041,2021,2.0,85.76,,
SCH_0059,2020,8.0,62.03,74.38,0.0
SCH_0026,2020,9.0,85.03,,
SCH_0061,2022,4.0,,,
SCH_0106,2023,2.0,53.78,98.27,0.0
SCH_0080,2024,1.0,69.47,,
SCH_0064,2021,3.0,40.7,76.26,1.0
SCH_0069,2021,6.0,49.49,,
SCH_0019,2024,,71.15,,
SCH_0080,2024,12.0,70.18,,
SCH_0070,2022,10.0,46.9,,
SCH_0003,2020,2.0,68.94,94.38,0.0
SCH_0012,2021,2.0,59.14,,
SCH_0048,2021,6.0,,69.38,
SCH_0066,2021,9.0,77.04,73.69,0.0
SCH_0001,2024,3.0,66.37,85.31,0.0
SCH_0107,2021,8.0,,79.41,
SCH_0021,2024,1.0,,,
SCH_0109,2019,1.0,87.83,,
SCH_0040,2019,,50.41,,
SCH_0011,2019,,89.68,74.53,0.0
SCH_0048,2024,3.0,48.17,86.12,1.0
SCH_0013,2023,6.0,93.46,,
SCH_0043,2024,10.0,78.53,,
SCH_0017,2022,12.0,,,
SCH_0073,2024,3.0,,89.28,
SCH_0120,2021,5.0,58.02,76.32,0.0
SCH_0092,2022,10.0,,97.94,
SCH_0117,2022,3.0,52.99,61.16,1.0
SCH_0112,2024,7.0,78.7,65.7,1.0
SCH_0007,2023,7.0,75.16,68.75,1.0
SCH_0071,2022,6.0,76.93,,
SCH_0086,2023,2.0,91.83,71.37,1.0
SCH_0033,2021,5.0,,,
SCH_0059,2021,6.0,54.01,74.29,0.0
SCH_0060,2020,3.0,,,
SCH_0097,2021,1.0,42.26,,
SCH_0043,2021,2.0,74.1,,
SCH_0076,2020,5.0,47.68,,
SCH_0025,2019,7.0,73.27,80.54,0.0
SCH_0044,2022,10.0,73.4,90.94,0.0
SCH_0072,2020,4.0,75.2,69.67,1.0
SCH_0055,2020,9.0,56.11,,
SCH_0084,2020,1.0,74.73,82.15,0.0
SCH_0061,2024,8.0,,78.17,
SCH_0031,2019,8.0,,81.0,
SCH_0115,2022,5.0,,,
SCH_0107,2024,6.0,,,
SCH_0027,2020,12.0,75.34,,
SCH_0076,2023,6.0,67.23,77.77,0.0
SCH_0086,2020,7.0,45.87,62.89,1.0
SCH_0109,2022,9.0,,,
SCH_0071,2024,1.0,53.85,90.25,0.0
SCH_0027,2022,1.0,,,
SCH_0020,2020,5.0,63.78,,
SCH_0053,2019,7.0,,,
SCH_0089,2022,2.0,91.72,92.23,0.0
SCH_0006,2019,12.0,70.84,71.86,1.0
SCH_0105,2019,9.0,92.5,80.69,0.0
SCH_0105,2022,8.0,79.44,,
SCH_0034,2023,3.0,,,
SCH_0002,2023,12.0,57.48,64.47,1.0
SCH_0068,2020,10.0,60.87,67.72,1.0
SCH_0003,2019,1.0,,,
SCH_0033,2024,1.0,93.67,,
SCH_0057,2020,,94.74,83.86,0.0
SCH_0079,2021,5.0,81.77,,
SCH_0108,2021,10.0,49.95,85.43,1.0
SCH_0065,2023,7.0,50.12,,
SCH_0033,2022,5.0,,,
SCH_0040,2023,7.0,,81.65,
SCH_0041,2019,1.0,,70.69,
SCH_0045,2020,6.0,90.59,,
SCH_0061,2022,2.0,,,
SCH_0003,2022,1.0,82.23,85.36,0.0
SCH_0081,2022,12.0,50.86,86.45,1.0
SCH_0052,2022,10.0,82.04,,
SCH_0077,2020,5.0,47.15,,
SCH_0008,2024,11.0,70.26,86.92,0.0
SCH_0045,2024,2.0,,75.99,
SCH_0078,2024,5.0,51.78,,
SCH_0070,2022,1.0,44.09,63.04,1.0
SCH_0095,2023,12.0,57.22,,
SCH_0101,2023,11.0,70.26,,
SCH_0076,2020,9.0,,,
SCH_0033,2022,10.0,,,
SCH_0063,2020,9.0,,,
SCH_0089,2021,,,73.9,
SCH_0093,2024,4.0,50.61,,
SCH_0027,2020,1.0,93.32,,
SCH_0054,2021,6.0,,,
SCH_0117,2023,7.0,,78.58,
SCH_0118,2019,,,75.59,
SCH_0105,2024,3.0,,,
SCH_0102,2019,3.0,,62.03,
SCH_0102,2023,,,78.24,
SCH_0031,2024,2.0,,83.09,
SCH_0041,2020,8.0,,72.24,
SCH_0035,2021,6.0,,95.22,
SCH_0102,2024,7.0,,75.7,
SCH_0078,2020,,65.97,,
SCH_0017,2022,2.0,53.08,,
SCH_0104,2024,6.0,,64.79,
SCH_0103,2023,6.0,,68.72,
SCH_0035,2022,11.0,74.89,88.37,0.0
SCH_0060,2020,7.0,44.43,,
SCH_0034,2019,9.0,,91.24,
SCH_0006,2020,,52.94,,
SCH_0007,2022,2.0,59.34,93.16,0.0
SCH_0090,2019,1.0,68.02,64.41,1.0
SCH_0078,2019,9.0,79.49,64.58,1.0
SCH_0005,2021,4.0,,61.17,
SCH_0006,2022,9.0,45.11,,
SCH_0052,2021,,79.35,68.79,1.0
SCH_0029,2023,8.0,,73.05,
SCH_0100,2024,11.0,48.72,71.26,1.0
SCH_0069,2023,1.0,91.93,86.61,0.0
SCH_0099,2023,3.0,,,
SCH_0003,2023,10.0,,79.93,
SCH_0085,2022,7.0,,96.56,
SCH_0080,2019,1.0,,,
SCH_0050,2023,1.0,59.23,72.38,0.0
SCH_0026,2019,2.0,,76.14,
SCH_0012,2023,12.0,,86.19,
SCH_0072,2023,4.0,,75.38,
SCH_0025,2021,6.0,,,
SCH_0052,2020,9.0,53.42,99.09,0.0
SCH_0113,2021,8.0,60.15,,
SCH_0003,2020,1.0,,,
SCH_0031,2019,8.0,65.14,,
SCH_0069,2024,12.0,67.92,,
SCH_0078,2020,11.0,,,
SCH_0061,2022,12.0,74.73,,
SCH_0044,2020,7.0,93.07,,
SCH_0078,2021,9.0,79.85,,
SCH_0110,2022,9.0,53.52,92.97,0.0
SCH_0010,2023,7.0,,,
SCH_0060,2019,9.0,,86.36,
SCH_0023,2022,7.0,88.68,95.03,0.0
SCH_0052,2020,6.0,,,
SCH_0016,2024,9.0,74.16,,
SCH_0099,2023,5.0,,64.32,
SCH_0047,2020,6.0,74.8,68.2,1.0
SCH_0065,2023,3.0,,99.54,
SCH_0020,2023,12.0,,97.42,
SCH_0114,2019,10.0,,67.84,
SCH_0115,2023,4.0,65.28,,
SCH_0071,2023,7.0,,79.12,
SCH_0088,2019,12.0,,74.32,
SCH_0049,2023,11.0,93.06,,
SCH_0002,2022,3.0,67.84,,
SCH_0118,2023,5.0,,,
SCH_0014,2020,5.0,,83.62,
SCH_0043,2022,,94.44,64.65,1.0
SCH_0024,2024,7.0,,95.92,
SCH_0098,2021,9.0,76.63,,
SCH_0110,2021,10.0,49.2,62.98,1.0
SCH_0048,2022,11.0,71.88,,
SCH_0096,2019,2.0,,,
SCH_0049,2020,7.0,81.73,,
SCH_0047,2024,5.0,57.78,73.57,0.0
SCH_0094,2024,,83.72,,
SCH_0039,2021,1.0,66.9,,
SCH_0077,2020,6.0,71.19,68.22,1.0
SCH_0016,2020,1.0,91.43,87.0,0.0
SCH_0101,2021,5.0,,,
SCH_0033,2020,11.0,44.34,,
SCH_0004,2021,1.0,88.46,,
SCH_0023,2024,1.0,85.57,91.04,0.0
SCH_0081,2020,8.0,49.18,,
SCH_0030,2021,1.0,,,
SCH_0091,2020,8.0,76.37,,
SCH_0002,2022,12.0,92.99,84.49,0.0
SCH_0054,2023,3.0,56.53,73.09,0.0
SCH_0030,2019,8.0,,,
SCH_0117,2023,8.0,,,
SCH_0042,2021,10.0,84.35,92.2,0.0
SCH_0098,2021,8.0,,88.79,
SCH_0014,2022,11.0,51.75,92.78,1.0
SCH_0100,2024,7.0,63.59,,
SCH_0120,2023,,60.95,,
SCH_0031,2023,,59.07,92.66,0.0
SCH_0091,2022,2.0,63.18,74.46,0.0
SCH_0074,2022,2.0,67.94,88.14,0.0
SCH_0025,2019,8.0,74.88,76.45,0.0
SCH_0070,2022,4.0,,90.17,
SCH_0029,2019,10.0,,,
SCH_0094,2022,6.0,46.38,94.89,1.0
SCH_0093,2021,6.0,66.78,,
SCH_0098,2021,4.0,88.86,,
SCH_0108,2024,12.0,,,
SCH_0054,2019,12.0,,,
SCH_0050,2023,12.0,42.13,75.17,1.0
SCH_0033,2022,8.0,52.84,,
SCH_0042,2021,6.0,80.43,,
SCH_0080,2024,8.0,76.27,,
SCH_0007,2022,10.0,46.74,83.29,1.0
